ap,ep,sinip,astar,iz
2.57,0.1895,0.2868,0.134,-0.02
3.215,0.0535,0.1955,-0.08,0.04
2.994,0.0675,0.1875,0.072,0.04
3.0427,0.0663,0.1573,0.059,0.09
3.0868,0.0397,0.1924,0.058,-0.01
3.023,0.0656,0.1685,0.028,0.02
2.3319,0.0983,0.1197,0.103,-0.19
2.5799,0.1691,0.1322,0.179,-0.02
3.0818,0.2553,0.151,-0.12,-0.03
2.6619,0.1686,0.2014,-0.124,0.01
2.5835,0.1889,0.2435,-0.048,0.03
2.5832,0.0828,0.1719,0.125,-0.05
2.7528,0.1815,0.1618,0.09,-0.05
3.0568,0.0714,0.1663,0.081,-0.01
2.8984,0.0584,0.0342,0.01,0.04
2.6979,0.196,0.133,-0.035,-0.01
2.3684,0.1036,0.0719,0.17,0.06
2.9716,0.0852,0.182,0.081,-0.07
2.6392,0.1366,0.2237,0.138,-0.01
3.0305,0.2085,0.1651,0.036,0.03
2.7894,0.0714,0.0654,0.041,-0.08
2.8499,0.1726,0.2123,0.179,0.01
2.2918,0.0918,0.1368,0.112,-0.31
2.2123,0.148,0.0997,0.209,-0.04
3.2084,0.0187,0.2014,-0.075,0.06
2.7954,0.2946,0.1786,0.13,-0.03
2.9752,0.0356,0.1653,0.018,0
2.9865,0.0874,0.1788,0.054,0.02
2.6069,0.26,0.1972,-0.053,-0.04
2.928,0.1178,0.2589,-0.04,0.03
2.8918,0.1655,0.1095,0.054,0.07
3.1972,0.1823,0.041,-0.156,-0.04
3.1077,0.0732,0.1106,-0.049,0.06
2.4474,0.1722,0.1377,0.112,-0.02
2.2456,0.1231,0.0148,0.081,-0.03
3.1226,0.1538,0.0326,-0.111,-0.04
3.1709,0.062,0.1588,-0.124,0.04
2.3686,0.2066,0.0857,-0.222,0.06
2.5297,0.1467,0.0832,0.165,0.02
3.1846,0.1453,0.09,-0.124,0.03
3.2117,0.0969,0.2899,-0.062,0.06
2.5545,0.2469,0.2558,0.027,0.07
3.1184,0.0656,0.0508,0.032,0.08
